model,repeat,fold,fold_index,num_train,num_test,accuracy,macro_f1,weighted_f1,unweighted_recall,best_epoch
hybrid_soft_voting,7,3,33,230,58,0.689655,0.667735,0.676245,0.659919,
hybrid_soft_voting,7,4,34,231,57,0.684211,0.667547,0.679947,0.67333,
hybrid_soft_voting,7,5,35,231,57,0.807018,0.802118,0.805922,0.80027,
hybrid_soft_voting,8,1,36,230,58,0.775862,0.753831,0.769368,0.750321,
hybrid_soft_voting,8,2,37,230,58,0.689655,0.693212,0.692148,0.684211,
hybrid_soft_voting,8,3,38,230,58,0.810345,0.798519,0.809017,0.794534,
hybrid_soft_voting,8,4,39,231,57,0.789474,0.779644,0.782955,0.766026,
hybrid_soft_voting,8,5,40,231,57,0.77193,0.765533,0.770436,0.757338,
hybrid_soft_voting,9,1,41,230,58,0.810345,0.795815,0.806663,0.783654,
hybrid_soft_voting,9,2,42,230,58,0.810345,0.809437,0.810341,0.794534,
hybrid_soft_voting,9,3,43,230,58,0.758621,0.754095,0.756826,0.748988,
hybrid_soft_voting,9,4,44,231,57,0.736842,0.704471,0.719905,0.714406,
hybrid_soft_voting,9,5,45,231,57,0.719298,0.708485,0.717788,0.704116,
hybrid_soft_voting,10,1,46,230,58,0.689655,0.670491,0.680823,0.666026,
hybrid_soft_voting,10,2,47,230,58,0.741379,0.726227,0.736887,0.723684,
hybrid_soft_voting,10,3,48,230,58,0.810345,0.791689,0.805669,0.788462,
hybrid_soft_voting,10,4,49,231,57,0.807018,0.794472,0.800712,0.792932,
hybrid_soft_voting,10,5,50,231,57,0.842105,0.840122,0.842406,0.835864,
